orderid   custid    itemid  pieces  datetran  
8162      62397150  49      10      01.04.2014
8163      40139972  32      7       18.06.2013
8164      62486641  56      4       25.02.2014
8165      13827456  18      2       15.06.2014
8166      14798620  17      4       26.09.2013
8167      49631501  55      3       04.10.2014
8168      40255085  5       6       22.06.2014
8169      16908392  27      10      21.04.2014
8170      13188569  5       6       28.03.2013
8171      60061227  3       4       04.11.2014
8172      15596460  42      9       01.11.2013
8173      45179131  35      5       21.06.2013
8174      60043806  4       10      29.05.2013
8175      69553995  27      3       06.06.2014
8176      48348716  57      1       14.02.2013
8177      87654326  44      6       02.09.2014
8178      12477761  45      8       29.09.2013
8179      69921172  33      1       25.02.2014
8180      13827456  34      6       01.09.2014
8181      26425939  7       8       14.08.2014
8182      43122990  3       7       07.05.2013
8183      60807261  27      9       27.05.2014
8184      16687981  54      2       19.01.2013
8185      11396661  26      2       14.12.2014
8186      65050614  28      7       15.07.2014
8187      19000553  35      2       20.03.2013
8188      43718558  28      10      25.07.2014
8189      60685646  19      8       22.06.2013
8190      25859358  45      3       06.03.2014
8191      70221448  14      10      28.11.2013
8192      47504129  7       3       19.06.2013
8193      49310569  23      7       17.11.2014
8194      68926251  31      7       07.11.2013
8195      70624933  41      6       08.07.2013
8196      22974920  13      2       03.07.2013
8197      47107251  24      2       15.08.2014
8198      42186188  7       1       13.06.2013
8199      45527083  56      10      17.07.2014
8200      64805140  42      9       11.02.2013
8201      40255085  44      9       13.10.2013
8202      11512857  41      1       28.04.2014
8203      44210973  52      10      09.01.2014
8204      13863614  30      10      09.08.2013
8205      13305956  44      2       01.02.2014
8206      67963161  11      10      07.08.2013
8207      25601474  37      1       11.05.2013
8208      15783197  4       8       31.07.2013
8209      42875412  2       7       09.07.2014
8210      64362906  19      7       01.12.2014
8211      12214157  45      9       09.02.2014
8212      12613533  6       2       16.07.2014
8213      41757513  12      9       27.07.2014
8214      65765036  19      3       01.04.2014
8215      60733667  17      1       13.03.2013
8216      16381769  46      9       14.02.2014
8217      66117127  46      5       23.02.2014
8218      48360886  36      4       02.05.2014
8219      45930601  50      7       18.10.2013
8220      13002317  27      8       23.08.2013
8221      42105048  50      6       21.02.2013
8222      12174378  1       8       03.09.2014
8223      15749681  47      7       21.08.2014
8224      41406541  15      10      28.12.2014
8225      47206578  6       3       30.05.2014
8226      12943282  33      7       18.03.2014
8227      62247808  25      10      01.08.2013
8228      15901459  34      2       06.06.2013
8229      42014328  22      2       20.12.2014
8230      13456288  45      3       06.02.2013
8231      42107598  27      2       11.04.2014
8232      11239751  11      6       19.09.2014
8233      70576521  36      1       13.08.2013
8234      46701541  25      6       14.09.2013
8235      12743038  53      2       16.05.2013
8236      18652930  58      5       29.11.2013
8237      65765036  50      1       22.01.2014
8238      49969447  59      6       19.02.2014
8239      43927751  29      9       25.10.2014
8240      64818055  13      4       21.04.2013
8241      49247760  23      4       06.05.2014
8242      69311609  5       10      12.07.2013
8243      45445435  39      6       25.04.2014
8244      43378218  24      3       15.03.2014
8245      10200509  19      5       27.09.2014
8246      18816291  20      1       28.07.2014
8247      69212228  6       2       05.04.2014
8248      40022641  45      8       07.03.2013
8249      44528825  30      10      20.04.2013
8250      61139629  49      6       09.08.2014
8251      13188569  10      3       29.12.2013
8252      11438916  10      6       20.04.2013
8253      13863614  55      8       27.07.2013
8254      43725945  52      8       12.03.2013
8255      72671688  8       2       09.04.2013
8256      68979291  26      10      14.09.2014
8257      25859358  30      7       27.01.2013
8258      70624933  33      5       26.08.2014
8259      68973152  16      3       12.10.2014
8260      12613533  39      6       02.02.2014
8261      00448133  51      2       10.08.2014
8262      41585208  43      6       07.12.2013
8263      15777383  31      4       05.05.2013
8264      64894916  20      2       31.05.2014
8265      49017641  17      8       12.01.2013
8266      10611657  44      1       25.12.2013
8267      13060104  23      2       07.03.2013
8268      69200394  12      8       07.09.2013
8269      62672070  52      5       04.05.2013
8270      47090022  39      7       29.07.2014
8271      48864293  36      10      16.11.2014
8272      48449512  39      2       27.09.2013
8273      70631506  27      6       15.01.2014
8274      47574119  48      7       02.07.2014
8275      60175982  49      4       16.09.2014
8276      13658727  5       1       24.11.2013
8277      15484921  51      1       06.06.2014
8278      16619072  2       2       07.06.2013
8279      70729786  51      6       05.09.2014
8280      25003232  2       6       04.06.2013
8281      45118728  37      3       21.09.2013
8282      45854939  48      8       26.12.2013
8283      42795745  1       5       02.02.2013
8284      15901459  32      10      27.06.2013
8285      25601474  59      10      07.11.2014
8286      68927771  22      10      10.05.2013
8287      14242344  33      6       29.09.2014
8288      46270736  40      10      12.05.2013
8289      42259380  55      2       29.03.2014
8290      25137409  32      4       23.11.2014
8291      70839948  3       5       23.02.2013
8292      40460754  24      2       23.11.2013
8293      69317909  39      4       10.01.2014
8294      15073076  7       2       03.02.2014
8295      13506731  29      3       02.11.2013
8296      61220540  42      5       29.11.2013
8297      40202381  1       10      01.06.2013
8298      15687830  11      1       11.01.2014
8299      44517360  60      8       12.08.2014
8300      12385654  22      9       12.02.2013
8301      40189929  6       6       27.12.2014
8302      25170914  35      2       13.03.2014
8303      67259545  42      4       24.09.2014
8304      47802685  47      7       27.10.2014
8305      15041298  26      1       28.01.2014
8306      10611657  20      7       22.01.2013
8307      46683704  8       9       25.05.2013
8308      42096693  12      8       11.01.2013
8309      14592274  29      8       10.11.2014
8310      45844747  2       7       03.06.2013
8311      43915701  59      9       16.03.2013
8312      63189151  22      8       02.11.2013
8313      14952165  41      10      01.02.2014
8314      49531689  20      2       03.10.2013
8315      63990474  26      6       11.06.2013
8316      60632381  16      3       13.07.2014
8317      40682684  37      3       17.10.2013
8318      13477153  37      10      01.09.2014
8319      62486641  8       5       15.05.2013
8320      41832582  30      10      03.07.2014
8321      18269591  57      2       04.02.2014
8322      12253448  25      4       18.11.2014
8323      63438348  28      3       29.03.2013
8324      12237795  25      10      06.11.2014
8325      42096693  55      6       09.09.2013
8326      25859358  11      5       21.12.2014
8327      46130110  17      10      05.02.2014
8328      12782467  45      4       25.12.2014
8329      45581185  6       4       04.05.2014
8330      25860674  58      8       03.06.2013
8331      18816291  26      3       02.03.2014
8332      42602017  42      9       14.08.2014
8333      48493864  25      4       03.03.2013
8334      72810483  19      3       05.06.2013
8335      42107598  14      9       18.08.2013
8336      68849311  44      8       11.08.2014
8337      65763408  36      3       14.08.2013
8338      46999787  36      10      03.10.2013
8339      16218663  13      10      18.07.2014
8340      69789126  52      4       18.01.2013
8341      69212228  20      7       16.03.2013
8342      63047233  39      8       29.01.2013
8343      12477761  35      9       28.01.2013
